timestamp,actual_consumption,actual_pv,price_buy,price_sell,heat_load,cool_load,gas,pv_c
2020-01-05 22:00:00-07:00,881.2976604,-0.075,0.031,0.031,2222.172323,352.4914455,9.51,0
2020-01-05 23:00:00-07:00,760.7263938,-0.075,0.031,0.031,2461.786011,345.7624168,9.51,0
2020-01-06 00:00:00-07:00,620.4909558,-0.075,0.031,0.031,2723.131087,323.6308518,9.51,0
2020-01-06 01:00:00-07:00,570.9855909,-0.075,0.031,0.031,2908.882475,297.2423637,9.51,0
2020-01-06 02:00:00-07:00,556.2903573,-0.075,0.031,0.031,3087.58685,273.6699675,9.51,0
2020-01-06 03:00:00-07:00,555.9569393,-0.075,0.031,0.031,3254.754642,251.9713303,9.51,0
2020-01-06 04:00:00-07:00,648.7283107,-0.075,0.031,0.031,3403.312021,230.6796795,9.51,0
2020-01-06 05:00:00-07:00,679.6144941,-0.075,0.031,0.031,3825.138766,210.740229,9.51,0
2020-01-06 06:00:00-07:00,1031.099847,-0.075,0.049,0.031,4058.370125,192.716725,9.51,0
2020-01-06 07:00:00-07:00,1225.405367,-0.075,0.049,0.031,3716.964607,179.9913074,9.51,1.54
2020-01-06 08:00:00-07:00,1206.838308,26.14180046,0.049,0.031,3037.327789,229.2368733,9.51,20.46
2020-01-06 09:00:00-07:00,1127.203583,54.71176993,0.049,0.031,2500.079294,287.8676119,9.51,42.68
2020-01-06 10:00:00-07:00,1147.991506,86.54599985,0.049,0.031,2438.550052,322.2414787,9.51,64.9
2020-01-06 11:00:00-07:00,1134.843344,110.2457849,0.049,0.031,1732.1151,348.5958962,9.51,82.06
2020-01-06 12:00:00-07:00,1119.450204,174.9040284,0.049,0.031,1395.548131,363.6257511,9.51,114.62
2020-01-06 13:00:00-07:00,1097.494028,164.1628535,0.049,0.031,1152.307389,369.0636085,9.51,102.3
2020-01-06 14:00:00-07:00,1097.446786,138.1920711,0.049,0.031,1273.307327,370.4803564,9.51,77.22
2020-01-06 15:00:00-07:00,1133.728282,72.38229559,0.049,0.031,1531.958428,369.8400708,9.51,36.08
2020-01-06 16:00:00-07:00,1254.227252,10.00914947,0.049,0.031,1780.707958,353.1072282,9.51,6.6
2020-01-06 17:00:00-07:00,1465.170085,-0.075,0.049,0.031,2256.551438,325.8871224,9.51,0
